gene_name	gene_id_short	har_count	chrom	start	end
DAB1	ENSG00000173406	6	chr1	56994778	58546734
STPG2	ENSG00000163116	2	chr4	97184093	98143476
MCPH1	ENSG00000147316	1	chr8	6406592	6648508
ERC1	ENSG00000082805	1	chr12	989998	1495933
MGMT	ENSG00000170430	1	chr10	129466679	129770983
GALNT10	ENSG00000164574	1	chr5	154190514	154420984
FRMD4B	ENSG00000114541	1	chr3	69168782	69542583
RTN4R	ENSG00000040608	0	chr22	20241415	20283246
THAP4	ENSG00000176946	0	chr2	241584405	241637191
CHD6	ENSG00000124177	0	chr20	41402083	41618449
PREX1	ENSG00000124126	0	chr20	48624249	48828096
IGSF5	ENSG00000183067	0	chr21	39745183	39802081
PADI3	ENSG00000142619	0	chr1	17249098	17284233
CDH7	ENSG00000081138	0	chr18	65750252	65890337
CWC27	ENSG00000153015	0	chr5	64766368	65102412
NSG2	ENSG00000170091	0	chr5	174045706	174243501
ECT2L	ENSG00000203734	0	chr6	138795911	138904070
TNS3	ENSG00000136205	0	chr7	47275154	47582558
MTUS1	ENSG00000129422	0	chr8	17643794	17801545
FANCL	ENSG00000115392	0	chr2	58159243	58241410
TMCO5A	ENSG00000166069	0	chr15	37921858	37967724
TNFRSF13B	ENSG00000240505	0	chr17	16929816	16972118
PELI2	ENSG00000139946	0	chr14	56117814	56301524
CCDC60	ENSG00000183273	0	chr12	119334703	119541047
UBASH3B	ENSG00000154127	0	chr11	122655722	122814473
PANX1	ENSG00000110218	0	chr11	94128828	94181968
HEPHL1	ENSG00000181333	0	chr11	94021354	94114208
ENSG00000284057	ENSG00000284057	0	chr11	93741664	93812378
TAF1D	ENSG00000166012	0	chr11	93729948	93784391
CEP295	ENSG00000166004	0	chr11	93661682	93730358
SMCO4	ENSG00000166002	0	chr11	93478468	93543764
CDC73	ENSG00000134371	0	chr1	193115732	193264613
LMX1A	ENSG00000162761	0	chr1	165201867	165356715
GJA8	ENSG00000121634	0	chr1	147902795	147909269
GJA5	ENSG00000265107	0	chr1	147756199	147773362
DBT	ENSG00000137992	0	chr1	100182222	100249873
EHMT1	ENSG00000181090	0	chr9	137618977	137870016
